Probe,Gene,Region,promoter
cgSYNC00091,CD74,Body,False
cgSYNC00092,CD74,TSS1500,True
cgSYNC00093,CD74,Body,False
cgSYNC00094,CD74,5'UTR,True
cgSYNC00095,CD74,TSS200,True
cgSYNC00096,CD74,Body,False
cgSYNC00097,CD74,TSS1500,True
cgSYNC00098,CD74,TSS1500,True
cgSYNC00099,STAT1,Body,False
cgSYNC00100,STAT1,TSS1500,True
cgSYNC00101,STAT1,Body,False
cgSYNC00102,STAT1,Body,False
cgSYNC00103,STAT1,Body,False
cgSYNC00104,STAT1,Body,False
cgSYNC00105,STAT1,Body,False
cgSYNC00106,STAT1,5'UTR,True
cgSYNC00107,STAT1,Body,False
cgSYNC00108,STAT1,Body,False
cgSYNC00109,STAT1,5'UTR,True
cgSYNC00110,STAT1,5'UTR,True
cgSYNC00111,STAT1,1stExon,True
cgSYNC00112,STAT1,Body,False
cgSYNC00113,IFI44,1stExon,True
cgSYNC00114,IFI44,Body,False
cgSYNC00115,IFI44,Body,False
cgSYNC00116,IFI44,Body,False
cgSYNC00117,IFI44,TSS200,True
cgSYNC00118,IFI44,Body,False
cgSYNC00119,IFI44,TSS200,True
cgSYNC00120,IFI44,1stExon,True
cgSYNC00121,IFI44,Body,False
cgSYNC00122,IFI44,Body,False
cgSYNC00123,IFI44,TSS200,True
cgSYNC00124,IFI44,1stExon,True
cgSYNC00125,IFI44,Body,False
cgSYNC00126,IFI44,3'UTR,False
cgSYNC00127,UBE2L6,Body,False
cgSYNC00128,UBE2L6,Body,False
cgSYNC00129,UBE2L6,Body,False
cgSYNC00130,UBE2L6,TSS1500,True
cgSYNC00131,UBE2L6,TSS1500,True
cgSYNC00132,UBE2L6,3'UTR,False
cgSYNC00133,UBE2L6,Body,False
cgSYNC00134,UBE2L6,TSS200,True
cgSYNC00135,UBE2L6,Body,False
cgSYNC00136,UBE2L6,Body,False
cgSYNC00137,UBE2L6,TSS200,True
cgSYNC00138,UBE2L6,TSS1500,True
cgSYNC00139,UBE2L6,Body,False
cgSYNC00140,UBE2L6,5'UTR,True
cgSYNC00141,RNF213,Body,False
cgSYNC00142,RNF213,TSS1500,True
cgSYNC00143,RNF213,TSS1500,True
cgSYNC00144,RNF213,1stExon,True
cgSYNC00145,RNF213,Body,False
cgSYNC00146,RNF213,TSS1500,True
cgSYNC00147,RNF213,5'UTR,True
cgSYNC00148,RNF213,TSS1500,True
cgSYNC00149,RNF213,1stExon,True
cgSYNC00150,RNF213,Body,False
cgSYNC00151,RNF213,3'UTR,False
cgSYNC00152,RNF213,TSS1500,True
cgSYNC00153,RNF213,TSS200,True
cgSYNC00154,RNF213,3'UTR,False
cgSYNC00155,OAS3,5'UTR,True
cgSYNC00156,OAS3,TSS200,True
cgSYNC00157,OAS3,5'UTR,True
cgSYNC00158,OAS3,5'UTR,True
cgSYNC00159,OAS3,1stExon,True
cgSYNC00160,OAS3,1stExon,True
cgSYNC00161,OAS3,3'UTR,False
cgSYNC00162,OAS3,TSS1500,True
cgSYNC00163,OAS3,Body,False
cgSYNC00164,OAS3,Body,False
cgSYNC00165,OAS3,TSS200,True
cgSYNC00166,OAS3,TSS200,True
cgSYNC00167,OAS3,Body,False
cgSYNC00168,OAS3,TSS200,True
cgSYNC00169,IFITM3,3'UTR,False
cgSYNC00170,IFITM3,TSS1500,True
cgSYNC00171,IFITM3,TSS1500,True
cgSYNC00172,IFITM3,TSS200,True
cgSYNC00173,IFITM3,Body,False
cgSYNC00174,IFITM3,Body,False
cgSYNC00175,IFITM3,5'UTR,True
cgSYNC00176,IFITM3,Body,False
cgSYNC00177,IFITM3,TSS200,True
cgSYNC00178,IFITM3,TSS200,True
cgSYNC00179,IFITM3,Body,False
cgSYNC00180,IFITM3,TSS1500,True
cgSYNC00181,IFITM3,Body,False
cgSYNC00182,IFITM3,TSS1500,True
cgSYNC00183,BST2,TSS1500,True
cgSYNC00184,BST2,Body,False
cgSYNC00185,BST2,Body,False
cgSYNC00186,BST2,TSS1500,True
cgSYNC00187,BST2,5'UTR,True
cgSYNC00188,BST2,5'UTR,True
cgSYNC00189,BST2,Body,False
cgSYNC00190,BST2,5'UTR,True
cgSYNC00191,BST2,TSS200,True
cgSYNC00192,BST2,TSS1500,True
cgSYNC00193,BST2,Body,False
cgSYNC00194,BST2,5'UTR,True
cgSYNC00195,BST2,Body,False
cgSYNC00196,BST2,5'UTR,True
cgSYNC00197,MX1,Body,False
cgSYNC00198,MX1,TSS200,True
cgSYNC00199,MX1,TSS200,True
cgSYNC00200,MX1,1stExon,True
cgSYNC00201,MX1,Body,False
cgSYNC00202,MX1,TSS1500,True
cgSYNC00203,MX1,TSS1500,True
cgSYNC00204,MX1,5'UTR,True
cgSYNC00205,MX1,Body,False
cgSYNC00206,MX1,TSS1500,True
cgSYNC00207,MX1,TSS1500,True
cgSYNC00208,MX1,Body,False
cgSYNC00209,MX1,Body,False
cgSYNC00210,MX1,TSS200,True
cgSYNC00211,PARP14,Body,False
cgSYNC00212,PARP14,Body,False
cgSYNC00213,PARP14,Body,False
cgSYNC00214,PARP14,Body,False
cgSYNC00215,PARP14,Body,False
cgSYNC00216,PARP14,1stExon,True
cgSYNC00217,PARP14,Body,False
cgSYNC00218,PARP14,TSS1500,True
cgSYNC00219,PARP14,Body,False
cgSYNC00220,PARP14,TSS200,True
cgSYNC00221,PARP14,Body,False
cgSYNC00222,PARP14,1stExon,True
cgSYNC00223,PARP14,Body,False
cgSYNC00224,PARP14,Body,False
cgSYNC00225,GBP1,Body,False
cgSYNC00226,GBP1,Body,False
cgSYNC00227,GBP1,Body,False
cgSYNC00228,GBP1,Body,False
cgSYNC00229,GBP1,3'UTR,False
cgSYNC00230,GBP1,Body,False
cgSYNC00231,GBP1,Body,False
cgSYNC00232,GBP1,Body,False
cgSYNC00233,GBP1,3'UTR,False
cgSYNC00234,GBP1,1stExon,True
cgSYNC00235,GBP1,Body,False
cgSYNC00236,GBP1,TSS1500,True
cgSYNC00237,GBP1,TSS200,True
cgSYNC00238,GBP1,Body,False
cgSYNC00239,EPSTI1,Body,False
cgSYNC00240,EPSTI1,Body,False
cgSYNC00241,EPSTI1,Body,False
cgSYNC00242,EPSTI1,1stExon,True
cgSYNC00243,EPSTI1,1stExon,True
cgSYNC00244,EPSTI1,Body,False
cgSYNC00245,EPSTI1,1stExon,True
cgSYNC00246,EPSTI1,TSS200,True
cgSYNC00247,EPSTI1,5'UTR,True
cgSYNC00248,EPSTI1,Body,False
cgSYNC00249,EPSTI1,Body,False
cgSYNC00250,EPSTI1,Body,False
cgSYNC00251,EPSTI1,3'UTR,False
cgSYNC00252,LY6E,TSS200,True
cgSYNC00253,LY6E,TSS200,True
cgSYNC00254,LY6E,3'UTR,False
cgSYNC00255,LY6E,Body,False
cgSYNC00256,LY6E,5'UTR,True
cgSYNC00257,LY6E,Body,False
cgSYNC00258,LY6E,TSS200,True
cgSYNC00259,LY6E,TSS200,True
cgSYNC00260,LY6E,Body,False
cgSYNC00261,LY6E,Body,False
cgSYNC00262,LY6E,Body,False
cgSYNC00263,LY6E,TSS1500,True
cgSYNC00264,LY6E,5'UTR,True
cgSYNC00265,LCP1,Body,False
cgSYNC00266,LCP1,TSS1500,True
cgSYNC00267,LCP1,5'UTR,True
cgSYNC00268,LCP1,TSS1500,True
cgSYNC00269,LCP1,5'UTR,True
cgSYNC00270,LCP1,Body,False
cgSYNC00271,LCP1,TSS200,True
cgSYNC00272,LCP1,Body,False
cgSYNC00273,LCP1,Body,False
cgSYNC00274,LCP1,Body,False
cgSYNC00275,LCP1,Body,False
cgSYNC00276,LCP1,Body,False
cgSYNC00277,LCP1,Body,False
cgSYNC00278,UBD,1stExon,True
cgSYNC00279,UBD,TSS200,True
cgSYNC00280,UBD,TSS1500,True
cgSYNC00281,UBD,TSS200,True
cgSYNC00282,UBD,Body,False
cgSYNC00283,UBD,1stExon,True
cgSYNC00284,UBD,1stExon,True
cgSYNC00285,UBD,TSS1500,True
cgSYNC00286,UBD,Body,False
cgSYNC00287,UBD,TSS1500,True
cgSYNC00288,UBD,TSS1500,True
cgSYNC00289,UBD,TSS200,True
cgSYNC00290,UBD,Body,False
cgSYNC00291,XAF1,TSS200,True
cgSYNC00292,XAF1,TSS1500,True
cgSYNC00293,XAF1,TSS1500,True
cgSYNC00294,XAF1,TSS200,True
cgSYNC00295,XAF1,TSS1500,True
cgSYNC00296,XAF1,Body,False
cgSYNC00297,XAF1,TSS200,True
cgSYNC00298,XAF1,TSS1500,True
cgSYNC00299,XAF1,TSS1500,True
cgSYNC00300,XAF1,1stExon,True
cgSYNC00301,XAF1,Body,False
cgSYNC00302,XAF1,Body,False
cgSYNC00303,XAF1,Body,False
cgSYNC00304,C1QC,Body,False
cgSYNC00305,C1QC,TSS1500,True
cgSYNC00306,C1QC,TSS200,True
cgSYNC00307,C1QC,TSS1500,True
cgSYNC00308,C1QC,5'UTR,True
cgSYNC00309,C1QC,Body,False
cgSYNC00310,C1QC,Body,False
cgSYNC00311,C1QC,Body,False
cgSYNC00312,C1QC,TSS1500,True
cgSYNC00313,C1QC,Body,False
cgSYNC00314,C1QC,3'UTR,False
cgSYNC00315,C1QC,Body,False
cgSYNC00316,C1QC,TSS200,True
cgSYNC00317,TAP1,TSS200,True
cgSYNC00318,TAP1,TSS1500,True
cgSYNC00319,TAP1,TSS1500,True
cgSYNC00320,TAP1,Body,False
cgSYNC00321,TAP1,Body,False
cgSYNC00322,TAP1,TSS1500,True
cgSYNC00323,TAP1,Body,False
cgSYNC00324,TAP1,TSS200,True
cgSYNC00325,TAP1,TSS1500,True
cgSYNC00326,TAP1,Body,False
cgSYNC00327,TAP1,TSS200,True
cgSYNC00328,TAP1,TSS1500,True
cgSYNC00329,TAP1,Body,False
cgSYNC00330,LAPTM5,Body,False
cgSYNC00331,LAPTM5,5'UTR,True
cgSYNC00332,LAPTM5,Body,False
cgSYNC00333,LAPTM5,Body,False
cgSYNC00334,LAPTM5,TSS200,True
cgSYNC00335,LAPTM5,3'UTR,False
cgSYNC00336,LAPTM5,3'UTR,False
cgSYNC00337,LAPTM5,TSS1500,True
cgSYNC00338,LAPTM5,TSS200,True
cgSYNC00339,LAPTM5,TSS1500,True
cgSYNC00340,LAPTM5,1stExon,True
cgSYNC00341,LAPTM5,Body,False
cgSYNC00342,LAPTM5,Body,False
cgSYNC00343,C1QA,1stExon,True
cgSYNC00344,C1QA,Body,False
cgSYNC00345,C1QA,1stExon,True
cgSYNC00346,C1QA,Body,False
cgSYNC00347,C1QA,3'UTR,False
cgSYNC00348,C1QA,Body,False
cgSYNC00349,C1QA,TSS200,True
cgSYNC00350,C1QA,TSS200,True
cgSYNC00351,C1QA,3'UTR,False
cgSYNC00352,C1QA,5'UTR,True
cgSYNC00353,C1QA,Body,False
cgSYNC00354,C1QA,Body,False
cgSYNC00355,C1QA,Body,False
