probe,gene,region,promoter
cgSYN000246,CCNB2,TSS200,True
cgSYN000247,CCNB2,TSS1500,True
cgSYN000248,CCNB2,Body,False
cgSYN000249,CCNB2,Body,False
cgSYN000250,CCNB2,Body,False
cgSYN000251,CXCL9,5'UTR,True
cgSYN000252,CXCL9,TSS1500,True
cgSYN000253,CXCL9,TSS1500,True
cgSYN000254,CXCL9,Body,False
cgSYN000255,CXCL9,TSS1500,True
cgSYN000256,CXCL9,1stExon,True
cgSYN000257,CXCL9,5'UTR,True
cgSYN000258,CXCL9,TSS1500,True
cgSYN000259,CXCL10,TSS200,True
cgSYN000260,CXCL10,TSS200,True
cgSYN000261,CXCL10,TSS200,True
cgSYN000262,CXCL10,1stExon,True
cgSYN000263,CXCL10,5'UTR,True
cgSYN000264,CXCL10,Body,False
cgSYN000265,CXCL10,TSS200,True
cgSYN000266,CXCL10,Body,False
cgSYN000267,CXCL11,TSS1500,True
cgSYN000268,CXCL11,Body,False
cgSYN000269,CXCL11,TSS1500,True
cgSYN000270,CXCL11,TSS1500,True
cgSYN000271,CXCL11,1stExon,True
cgSYN000272,CXCL11,TSS1500,True
cgSYN000273,CXCL11,TSS200,True
cgSYN000274,CXCL11,5'UTR,True
cgSYN000275,IFI6,Body,False
cgSYN000276,IFI6,5'UTR,True
cgSYN000277,IFI6,TSS200,True
cgSYN000278,IFI6,Body,False
cgSYN000279,IFI6,TSS200,True
cgSYN000280,IFI6,Body,False
cgSYN000281,IFI6,TSS1500,True
cgSYN000282,IFI6,TSS1500,True
cgSYN000283,WARS1,5'UTR,True
cgSYN000284,WARS1,Body,False
cgSYN000285,WARS1,TSS200,True
cgSYN000286,WARS1,TSS200,True
cgSYN000287,WARS1,Body,False
cgSYN000288,WARS1,5'UTR,True
cgSYN000289,WARS1,TSS200,True
cgSYN000290,WARS1,TSS1500,True
cgSYN000291,GBP5,5'UTR,True
cgSYN000292,GBP5,TSS200,True
cgSYN000293,GBP5,TSS200,True
cgSYN000294,GBP5,TSS1500,True
cgSYN000295,GBP5,Body,False
cgSYN000296,GBP5,1stExon,True
cgSYN000297,GBP5,5'UTR,True
cgSYN000298,GBP5,Body,False
cgSYN000299,CD74,TSS1500,True
cgSYN000300,CD74,1stExon,True
cgSYN000301,CD74,TSS1500,True
cgSYN000302,CD74,Body,False
cgSYN000303,CD74,TSS1500,True
cgSYN000304,CD74,Body,False
cgSYN000305,CD74,1stExon,True
cgSYN000306,CD74,Body,False
cgSYN000307,STAT1,5'UTR,True
cgSYN000308,STAT1,Body,False
cgSYN000309,STAT1,Body,False
cgSYN000310,STAT1,5'UTR,True
cgSYN000311,STAT1,TSS200,True
cgSYN000312,STAT1,Body,False
cgSYN000313,STAT1,TSS1500,True
cgSYN000314,STAT1,TSS200,True
cgSYN000315,IFI44,Body,False
cgSYN000316,IFI44,5'UTR,True
cgSYN000317,IFI44,TSS1500,True
cgSYN000318,IFI44,Body,False
cgSYN000319,IFI44,Body,False
cgSYN000320,IFI44,5'UTR,True
cgSYN000321,IFI44,TSS1500,True
cgSYN000322,IFI44,Body,False
cgSYN000323,UBE2L6,5'UTR,True
cgSYN000324,UBE2L6,TSS200,True
cgSYN000325,UBE2L6,TSS1500,True
cgSYN000326,UBE2L6,5'UTR,True
cgSYN000327,UBE2L6,5'UTR,True
cgSYN000328,UBE2L6,Body,False
cgSYN000329,UBE2L6,Body,False
cgSYN000330,UBE2L6,Body,False
cgSYN000331,RNF213,1stExon,True
cgSYN000332,RNF213,Body,False
cgSYN000333,RNF213,Body,False
cgSYN000334,RNF213,Body,False
cgSYN000335,RNF213,TSS200,True
cgSYN000336,RNF213,Body,False
cgSYN000337,RNF213,Body,False
cgSYN000338,RNF213,Body,False
cgSYN000339,OAS3,1stExon,True
cgSYN000340,OAS3,TSS200,True
cgSYN000341,OAS3,Body,False
cgSYN000342,OAS3,TSS200,True
cgSYN000343,OAS3,5'UTR,True
cgSYN000344,OAS3,TSS1500,True
cgSYN000345,OAS3,Body,False
cgSYN000346,OAS3,TSS1500,True
cgSYN000347,IFITM3,TSS1500,True
cgSYN000348,IFITM3,Body,False
cgSYN000349,IFITM3,Body,False
cgSYN000350,IFITM3,Body,False
cgSYN000351,IFITM3,Body,False
cgSYN000352,IFITM3,TSS1500,True
cgSYN000353,IFITM3,Body,False
cgSYN000354,IFITM3,TSS200,True
cgSYN000355,BST2,1stExon,True
cgSYN000356,BST2,Body,False
cgSYN000357,BST2,1stExon,True
cgSYN000358,BST2,Body,False
cgSYN000359,BST2,Body,False
cgSYN000360,BST2,Body,False
cgSYN000361,BST2,Body,False
cgSYN000362,BST2,Body,False
cgSYN000363,MX1,TSS200,True
cgSYN000364,MX1,TSS200,True
cgSYN000365,MX1,1stExon,True
cgSYN000366,MX1,TSS200,True
cgSYN000367,MX1,Body,False
cgSYN000368,MX1,TSS200,True
cgSYN000369,MX1,5'UTR,True
cgSYN000370,MX1,5'UTR,True
cgSYN000371,PARP14,TSS200,True
cgSYN000372,PARP14,TSS1500,True
cgSYN000373,PARP14,TSS1500,True
cgSYN000374,PARP14,TSS1500,True
cgSYN000375,PARP14,Body,False
cgSYN000376,PARP14,1stExon,True
cgSYN000377,PARP14,TSS1500,True
cgSYN000378,PARP14,5'UTR,True
cgSYN000379,GBP1,Body,False
cgSYN000380,GBP1,1stExon,True
cgSYN000381,GBP1,Body,False
cgSYN000382,GBP1,TSS1500,True
cgSYN000383,GBP1,Body,False
cgSYN000384,GBP1,5'UTR,True
cgSYN000385,GBP1,TSS1500,True
cgSYN000386,GBP1,1stExon,True
cgSYN000387,EPSTI1,1stExon,True
cgSYN000388,EPSTI1,TSS1500,True
cgSYN000389,EPSTI1,TSS1500,True
cgSYN000390,EPSTI1,TSS1500,True
cgSYN000391,EPSTI1,TSS1500,True
cgSYN000392,EPSTI1,Body,False
cgSYN000393,EPSTI1,Body,False
cgSYN000394,EPSTI1,TSS200,True
cgSYN000395,LY6E,Body,False
cgSYN000396,LY6E,Body,False
cgSYN000397,LY6E,Body,False
cgSYN000398,LY6E,TSS1500,True
cgSYN000399,LY6E,Body,False
cgSYN000400,LY6E,TSS200,True
cgSYN000401,LY6E,5'UTR,True
cgSYN000402,LY6E,TSS200,True
cgSYN000403,LCP1,Body,False
cgSYN000404,LCP1,TSS1500,True
cgSYN000405,LCP1,TSS1500,True
cgSYN000406,LCP1,TSS1500,True
cgSYN000407,LCP1,TSS200,True
cgSYN000408,LCP1,Body,False
cgSYN000409,LCP1,Body,False
cgSYN000410,LCP1,Body,False
cgSYN000411,UBD,Body,False
cgSYN000412,UBD,TSS200,True
cgSYN000413,UBD,Body,False
cgSYN000414,UBD,5'UTR,True
cgSYN000415,UBD,5'UTR,True
cgSYN000416,UBD,5'UTR,True
cgSYN000417,UBD,1stExon,True
cgSYN000418,UBD,5'UTR,True
cgSYN000419,UBD,TSS200,True
cgSYN000420,UBD,Body,False
cgSYN000421,UBD,Body,False
cgSYN000422,UBD,TSS200,True
cgSYN000423,UBD,Body,False
cgSYN000424,XAF1,5'UTR,True
cgSYN000425,XAF1,TSS1500,True
cgSYN000426,XAF1,TSS200,True
cgSYN000427,XAF1,Body,False
cgSYN000428,XAF1,TSS1500,True
cgSYN000429,XAF1,TSS200,True
cgSYN000430,XAF1,5'UTR,True
cgSYN000431,XAF1,1stExon,True
cgSYN000432,C1QC,Body,False
cgSYN000433,C1QC,Body,False
cgSYN000434,C1QC,TSS1500,True
cgSYN000435,C1QC,Body,False
cgSYN000436,C1QC,TSS1500,True
cgSYN000437,C1QC,TSS1500,True
cgSYN000438,C1QC,TSS1500,True
cgSYN000439,C1QC,5'UTR,True
cgSYN000440,TAP1,Body,False
cgSYN000441,TAP1,1stExon,True
cgSYN000442,TAP1,TSS200,True
cgSYN000443,TAP1,Body,False
cgSYN000444,TAP1,Body,False
cgSYN000445,TAP1,TSS1500,True
cgSYN000446,TAP1,TSS1500,True
cgSYN000447,TAP1,Body,False
cgSYN000448,LAPTM5,Body,False
cgSYN000449,LAPTM5,Body,False
cgSYN000450,LAPTM5,TSS1500,True
cgSYN000451,LAPTM5,Body,False
cgSYN000452,LAPTM5,TSS200,True
cgSYN000453,LAPTM5,Body,False
cgSYN000454,LAPTM5,Body,False
cgSYN000455,LAPTM5,TSS1500,True
cgSYN000456,C1QA,TSS1500,True
cgSYN000457,C1QA,Body,False
cgSYN000458,C1QA,Body,False
cgSYN000459,C1QA,Body,False
cgSYN000460,C1QA,Body,False
cgSYN000461,C1QA,Body,False
cgSYN000462,C1QA,5'UTR,True
cgSYN000463,C1QA,Body,False
