Probe,Gene,Region,promoter
cgSYNK00054,MGMT,5'UTR,True
cgSYNK00055,MGMT,Body,False
cgSYNK00056,MGMT,Body,False
cgSYNK00057,MGMT,TSS1500,True
cgSYNK00058,MGMT,Body,False
cgSYNK00059,MGMT,Body,False
cgSYNK00060,MGMT,TSS200,True
cgSYNK00061,MGMT,Body,False
cgSYNK00062,MGMT,5'UTR,True
cgSYNK00063,MGMT,5'UTR,True
cgSYNK00064,MGMT,TSS200,True
cgSYNK00065,MGMT,Body,False
cgSYNK00066,MGMT,TSS200,True
cgSYNK00067,MGMT,Body,False
cgSYNK00068,MGMT,TSS1500,True
cgSYNK00069,MGMT,5'UTR,True
cgSYNK00070,MGMT,TSS200,True
cgSYNK00071,PAX1,Body,False
cgSYNK00072,PAX1,Body,False
cgSYNK00073,PAX1,Body,False
cgSYNK00074,PAX1,Body,False
cgSYNK00075,PAX1,TSS200,True
cgSYNK00076,PAX1,TSS1500,True
cgSYNK00077,PAX1,TSS200,True
cgSYNK00078,PAX1,TSS1500,True
cgSYNK00079,PAX1,TSS1500,True
cgSYNK00080,PAX1,TSS200,True
cgSYNK00081,PAX1,Body,False
cgSYNK00082,PAX1,Body,False
cgSYNK00083,PAX1,Body,False
cgSYNK00084,PAX1,TSS200,True
cgSYNK00085,PAX1,Body,False
cgSYNK00086,PAX1,Body,False
cgSYNK00087,PAX1,Body,False
cgSYNK00088,ZNF583,3'UTR,False
cgSYNK00089,ZNF583,Body,False
cgSYNK00090,ZNF583,TSS200,True
cgSYNK00091,ZNF583,5'UTR,True
cgSYNK00092,ZNF583,Body,False
cgSYNK00093,ZNF583,Body,False
cgSYNK00094,ZNF583,3'UTR,False
cgSYNK00095,ZNF583,Body,False
cgSYNK00096,ZNF583,TSS200,True
cgSYNK00097,ZNF583,TSS1500,True
cgSYNK00098,ZNF583,TSS200,True
cgSYNK00099,ZNF583,TSS200,True
cgSYNK00100,ZNF583,TSS200,True
cgSYNK00101,ZNF583,Body,False
cgSYNK00102,ZNF583,3'UTR,False
cgSYNK00103,ZNF583,TSS200,True
cgSYNK00104,ZNF583,Body,False
cgSYNK00105,ATG5,TSS200,True
cgSYNK00106,ATG5,Body,False
cgSYNK00107,ATG5,TSS1500,True
cgSYNK00108,ATG5,5'UTR,True
cgSYNK00109,ATG5,5'UTR,True
cgSYNK00110,ATG5,5'UTR,True
cgSYNK00111,ATG5,TSS1500,True
cgSYNK00112,ATG5,5'UTR,True
cgSYNK00113,ATG5,Body,False
cgSYNK00114,ATG5,3'UTR,False
cgSYNK00115,ATG5,TSS200,True
cgSYNK00116,ATG5,5'UTR,True
cgSYNK00117,ATG5,Body,False
cgSYNK00118,ATG5,TSS1500,True
cgSYNK00119,ATG5,1stExon,True
cgSYNK00120,ATG5,Body,False
cgSYNK00121,ATG5,1stExon,True
cgSYNK00122,MAP1LC3A,TSS1500,True
cgSYNK00123,MAP1LC3A,Body,False
cgSYNK00124,MAP1LC3A,Body,False
cgSYNK00125,MAP1LC3A,TSS1500,True
cgSYNK00126,MAP1LC3A,5'UTR,True
cgSYNK00127,MAP1LC3A,5'UTR,True
cgSYNK00128,MAP1LC3A,5'UTR,True
cgSYNK00129,MAP1LC3A,Body,False
cgSYNK00130,MAP1LC3A,TSS200,True
cgSYNK00131,MAP1LC3A,Body,False
cgSYNK00132,MAP1LC3A,5'UTR,True
cgSYNK00133,MAP1LC3A,1stExon,True
cgSYNK00134,MAP1LC3A,Body,False
cgSYNK00135,MAP1LC3A,TSS200,True
cgSYNK00136,MAP1LC3A,TSS1500,True
cgSYNK00137,MAP1LC3A,3'UTR,False
cgSYNK00138,MAP1LC3A,Body,False
cgSYNK00139,DAPK1,TSS200,True
cgSYNK00140,DAPK1,Body,False
cgSYNK00141,DAPK1,Body,False
cgSYNK00142,DAPK1,TSS200,True
cgSYNK00143,DAPK1,Body,False
cgSYNK00144,DAPK1,Body,False
cgSYNK00145,DAPK1,5'UTR,True
cgSYNK00146,DAPK1,Body,False
cgSYNK00147,DAPK1,Body,False
cgSYNK00148,DAPK1,TSS1500,True
cgSYNK00149,DAPK1,Body,False
cgSYNK00150,DAPK1,3'UTR,False
cgSYNK00151,DAPK1,3'UTR,False
cgSYNK00152,DAPK1,Body,False
cgSYNK00153,DAPK1,3'UTR,False
cgSYNK00154,DAPK1,5'UTR,True
cgSYNK00155,DAPK1,1stExon,True
cgSYNK00156,TP63,5'UTR,True
cgSYNK00157,TP63,Body,False
cgSYNK00158,TP63,TSS200,True
cgSYNK00159,TP63,Body,False
cgSYNK00160,TP63,Body,False
cgSYNK00161,TP63,Body,False
cgSYNK00162,TP63,3'UTR,False
cgSYNK00163,TP63,TSS200,True
cgSYNK00164,TP63,TSS200,True
cgSYNK00165,TP63,1stExon,True
cgSYNK00166,TP63,Body,False
cgSYNK00167,TP63,Body,False
cgSYNK00168,TP63,Body,False
cgSYNK00169,TP63,Body,False
cgSYNK00170,TP63,Body,False
cgSYNK00171,TP63,5'UTR,True
cgSYNK00172,TP63,Body,False
cgSYNK00173,TFPI2,TSS200,True
cgSYNK00174,TFPI2,Body,False
cgSYNK00175,TFPI2,Body,False
cgSYNK00176,TFPI2,Body,False
cgSYNK00177,TFPI2,TSS200,True
cgSYNK00178,TFPI2,Body,False
cgSYNK00179,TFPI2,TSS1500,True
cgSYNK00180,TFPI2,3'UTR,False
cgSYNK00181,TFPI2,1stExon,True
cgSYNK00182,TFPI2,TSS200,True
cgSYNK00183,TFPI2,3'UTR,False
cgSYNK00184,TFPI2,TSS1500,True
cgSYNK00185,TFPI2,Body,False
cgSYNK00186,TFPI2,Body,False
cgSYNK00187,TFPI2,Body,False
cgSYNK00188,TFPI2,Body,False
cgSYNK00189,TFPI2,Body,False
cgSYNK00190,SOX17,TSS200,True
cgSYNK00191,SOX17,5'UTR,True
cgSYNK00192,SOX17,TSS200,True
cgSYNK00193,SOX17,TSS1500,True
cgSYNK00194,SOX17,TSS1500,True
cgSYNK00195,SOX17,TSS200,True
cgSYNK00196,SOX17,TSS1500,True
cgSYNK00197,SOX17,Body,False
cgSYNK00198,SOX17,Body,False
cgSYNK00199,SOX17,Body,False
cgSYNK00200,SOX17,Body,False
cgSYNK00201,SOX17,Body,False
cgSYNK00202,SOX17,Body,False
cgSYNK00203,SOX17,Body,False
cgSYNK00204,SOX17,TSS200,True
cgSYNK00205,SOX17,TSS1500,True
cgSYNK00206,SOX17,Body,False
cgSYNK00207,GATA4,Body,False
cgSYNK00208,GATA4,TSS1500,True
cgSYNK00209,GATA4,TSS1500,True
cgSYNK00210,GATA4,TSS200,True
cgSYNK00211,GATA4,TSS200,True
cgSYNK00212,GATA4,Body,False
cgSYNK00213,GATA4,TSS200,True
cgSYNK00214,GATA4,Body,False
cgSYNK00215,GATA4,Body,False
cgSYNK00216,GATA4,1stExon,True
cgSYNK00217,GATA4,Body,False
cgSYNK00218,GATA4,TSS1500,True
cgSYNK00219,GATA4,Body,False
cgSYNK00220,GATA4,Body,False
cgSYNK00221,GATA4,TSS1500,True
cgSYNK00222,GATA4,Body,False
cgSYNK00223,GATA4,Body,False
cgSYNK00224,EGFR,Body,False
cgSYNK00225,EGFR,Body,False
cgSYNK00226,EGFR,Body,False
cgSYNK00227,EGFR,Body,False
cgSYNK00228,EGFR,5'UTR,True
cgSYNK00229,EGFR,Body,False
cgSYNK00230,EGFR,5'UTR,True
cgSYNK00231,EGFR,TSS1500,True
cgSYNK00232,EGFR,TSS1500,True
cgSYNK00233,EGFR,TSS1500,True
cgSYNK00234,EGFR,3'UTR,False
cgSYNK00235,EGFR,5'UTR,True
cgSYNK00236,EGFR,Body,False
cgSYNK00237,EGFR,Body,False
cgSYNK00238,EGFR,TSS200,True
cgSYNK00239,EGFR,TSS200,True
cgSYNK00240,EGFR,Body,False
cgSYNK00241,PTK6,TSS200,True
cgSYNK00242,PTK6,Body,False
cgSYNK00243,PTK6,Body,False
cgSYNK00244,PTK6,TSS1500,True
cgSYNK00245,PTK6,Body,False
cgSYNK00246,PTK6,5'UTR,True
cgSYNK00247,PTK6,TSS200,True
cgSYNK00248,PTK6,TSS1500,True
cgSYNK00249,PTK6,3'UTR,False
cgSYNK00250,PTK6,TSS1500,True
cgSYNK00251,PTK6,Body,False
cgSYNK00252,PTK6,1stExon,True
cgSYNK00253,PTK6,3'UTR,False
cgSYNK00254,PTK6,Body,False
cgSYNK00255,PTK6,TSS200,True
cgSYNK00256,PTK6,Body,False
cgSYNK00257,PTK6,5'UTR,True
cgSYNK00258,AIM2,5'UTR,True
cgSYNK00259,AIM2,TSS1500,True
cgSYNK00260,AIM2,TSS200,True
cgSYNK00261,AIM2,TSS1500,True
cgSYNK00262,AIM2,Body,False
cgSYNK00263,AIM2,Body,False
cgSYNK00264,AIM2,1stExon,True
cgSYNK00265,AIM2,TSS200,True
cgSYNK00266,AIM2,TSS1500,True
cgSYNK00267,AIM2,TSS200,True
cgSYNK00268,AIM2,Body,False
cgSYNK00269,AIM2,Body,False
cgSYNK00270,AIM2,TSS1500,True
cgSYNK00271,AIM2,5'UTR,True
cgSYNK00272,AIM2,Body,False
cgSYNK00273,AIM2,TSS1500,True
cgSYNK00274,AIM2,Body,False
cgSYNK00275,CCNA1,5'UTR,True
cgSYNK00276,CCNA1,Body,False
cgSYNK00277,CCNA1,TSS200,True
cgSYNK00278,CCNA1,Body,False
cgSYNK00279,CCNA1,Body,False
cgSYNK00280,CCNA1,Body,False
cgSYNK00281,CCNA1,TSS1500,True
cgSYNK00282,CCNA1,5'UTR,True
cgSYNK00283,CCNA1,1stExon,True
cgSYNK00284,CCNA1,3'UTR,False
cgSYNK00285,CCNA1,Body,False
cgSYNK00286,CCNA1,Body,False
cgSYNK00287,CCNA1,1stExon,True
cgSYNK00288,CCNA1,TSS1500,True
cgSYNK00289,CCNA1,Body,False
cgSYNK00290,CCNA1,Body,False
cgSYNK00291,CCNA1,Body,False
cgSYNK00292,CCNA2,TSS1500,True
cgSYNK00293,CCNA2,Body,False
cgSYNK00294,CCNA2,TSS1500,True
cgSYNK00295,CCNA2,TSS200,True
cgSYNK00296,CCNA2,TSS1500,True
cgSYNK00297,CCNA2,1stExon,True
cgSYNK00298,CCNA2,Body,False
cgSYNK00299,CCNA2,Body,False
cgSYNK00300,CCNA2,TSS1500,True
cgSYNK00301,CCNA2,TSS1500,True
cgSYNK00302,CCNA2,Body,False
cgSYNK00303,CCNA2,Body,False
cgSYNK00304,CCNA2,Body,False
cgSYNK00305,CCNA2,TSS1500,True
cgSYNK00306,CCNA2,TSS1500,True
cgSYNK00307,CCNA2,TSS1500,True
cgSYNK00308,CCNA2,Body,False
cgSYNK00309,CCNB1,Body,False
cgSYNK00310,CCNB1,Body,False
cgSYNK00311,CCNB1,3'UTR,False
cgSYNK00312,CCNB1,3'UTR,False
cgSYNK00313,CCNB1,Body,False
cgSYNK00314,CCNB1,TSS1500,True
cgSYNK00315,CCNB1,TSS1500,True
cgSYNK00316,CCNB1,TSS1500,True
cgSYNK00317,CCNB1,Body,False
cgSYNK00318,CCNB1,3'UTR,False
cgSYNK00319,CCNB1,Body,False
cgSYNK00320,CCNB1,Body,False
cgSYNK00321,CCNB1,Body,False
cgSYNK00322,CCNB1,Body,False
cgSYNK00323,CCNB1,Body,False
cgSYNK00324,CCNB1,TSS200,True
cgSYNK00325,CCNB1,TSS1500,True
cgSYNK00326,CCNB2,Body,False
cgSYNK00327,CCNB2,Body,False
cgSYNK00328,CCNB2,TSS200,True
cgSYNK00329,CCNB2,3'UTR,False
cgSYNK00330,CCNB2,TSS1500,True
cgSYNK00331,CCNB2,5'UTR,True
cgSYNK00332,CCNB2,Body,False
cgSYNK00333,CCNB2,Body,False
cgSYNK00334,CCNB2,Body,False
cgSYNK00335,CCNB2,1stExon,True
cgSYNK00336,CCNB2,TSS1500,True
cgSYNK00337,CCNB2,TSS200,True
cgSYNK00338,CCNB2,TSS200,True
cgSYNK00339,CCNB2,Body,False
cgSYNK00340,CCNB2,5'UTR,True
cgSYNK00341,CCNB2,TSS1500,True
cgSYNK00342,CCNB2,TSS1500,True
