probe,delta_beta,gene,region,promoter,abs10
cgSYN000064,0.023206139047845187,PAX1,TSS200,True,False
cgSYN000065,0.01267219881444781,PAX1,5'UTR,True,False
cgSYN000066,-0.00372796258198671,PAX1,TSS200,True,False
cgSYN000067,0.008283864026308263,PAX1,TSS200,True,False
cgSYN000068,0.02972531162095504,PAX1,Body,False,False
cgSYN000069,0.002582382127727101,PAX1,Body,False,False
cgSYN000070,-0.06634103178036255,PAX1,Body,False,False
cgSYN000071,0.030531709025779452,ZNF583,Body,False,False
cgSYN000072,-0.007823564011335216,ZNF583,5'UTR,True,False
cgSYN000073,0.0040382145544470005,ZNF583,TSS1500,True,False
cgSYN000074,-0.02238983765007574,ZNF583,TSS200,True,False
cgSYN000075,0.003951291607939278,ZNF583,Body,False,False
cgSYN000076,-0.015954431042025263,ZNF583,TSS1500,True,False
cgSYN000077,0.016893919118851797,ZNF583,Body,False,False
cgSYN000078,-0.011207622583202625,ZNF583,TSS1500,True,False
cgSYN000079,-0.03934713280353319,ZNF583,TSS200,True,False
cgSYN000080,0.004427656116827244,ZNF583,Body,False,False
cgSYN000081,-0.03125528111009529,ZNF583,Body,False,False
cgSYN000082,-0.013953348858732728,ZNF583,TSS1500,True,False
cgSYN000083,0.01545456967975184,ATG5,Body,False,False
cgSYN000084,-0.0031298097569965044,ATG5,TSS1500,True,False
cgSYN000085,-0.05648561050439044,ATG5,Body,False,False
cgSYN000086,0.04187250594514624,ATG5,Body,False,False
cgSYN000087,-0.04184491745928526,ATG5,Body,False,False
cgSYN000088,0.03936271368283856,ATG5,Body,False,False
cgSYN000089,-0.042353277221652025,ATG5,Body,False,False
cgSYN000090,0.061896662084995446,ATG5,TSS200,True,False
cgSYN000091,0.022729074577950703,ATG5,TSS1500,True,False
cgSYN000092,0.060918671451245854,ATG5,TSS1500,True,False
cgSYN000093,0.00785661450389874,ATG5,5'UTR,True,False
cgSYN000094,0.08380668304712507,ATG5,TSS200,True,False
cgSYN000095,-0.014023321893618379,MAP1LC3A,5'UTR,True,False
cgSYN000096,0.045986825083756205,MAP1LC3A,Body,False,False
cgSYN000097,0.02953034385751907,MAP1LC3A,Body,False,False
cgSYN000098,0.04432548306086215,MAP1LC3A,1stExon,True,False
cgSYN000099,0.0360372724775232,MAP1LC3A,Body,False,False
cgSYN000100,-0.08280513816823298,MAP1LC3A,5'UTR,True,False
cgSYN000101,-0.00048558242682472663,MAP1LC3A,TSS200,True,False
cgSYN000102,-0.01750781663158979,MAP1LC3A,TSS1500,True,False
cgSYN000103,0.01446557467015952,MAP1LC3A,Body,False,False
cgSYN000104,-0.015377695311542094,MAP1LC3A,Body,False,False
cgSYN000105,-0.020228799049719748,MAP1LC3A,TSS1500,True,False
cgSYN000106,0.054131101068250476,MAP1LC3A,5'UTR,True,False
cgSYN000107,-0.004646949900113551,DAPK1,5'UTR,True,False
cgSYN000108,-0.04142457163657176,DAPK1,Body,False,False
cgSYN000109,-0.012973296615098912,DAPK1,TSS1500,True,False
cgSYN000110,0.03276544424932737,DAPK1,Body,False,False
cgSYN000111,-0.056357136765496696,DAPK1,TSS1500,True,False
cgSYN000112,0.06535089695195648,DAPK1,Body,False,False
cgSYN000113,-0.007468343330973487,DAPK1,Body,False,False
cgSYN000114,-0.06793982126606263,DAPK1,TSS200,True,False
cgSYN000115,-0.008865849959007271,DAPK1,TSS200,True,False
cgSYN000116,0.045655939897605025,DAPK1,TSS1500,True,False
cgSYN000117,0.03444409704304463,DAPK1,Body,False,False
cgSYN000118,-0.004847344620874439,DAPK1,TSS200,True,False
cgSYN000119,0.008951962076527542,TP63,TSS1500,True,False
cgSYN000120,0.0816749236065063,TP63,Body,False,False
cgSYN000121,-0.004719487016803192,TP63,Body,False,False
cgSYN000122,0.012156883236184468,TP63,5'UTR,True,False
cgSYN000123,-0.016838229699696228,TP63,TSS1500,True,False
cgSYN000124,0.008001545129596388,TP63,Body,False,False
cgSYN000125,0.05754054728905869,TP63,TSS1500,True,False
cgSYN000126,-0.028489384874699653,TP63,TSS1500,True,False
cgSYN000127,0.017566118211021664,TP63,TSS200,True,False
cgSYN000128,0.008999174140050359,TP63,TSS200,True,False
cgSYN000129,0.011853128914444011,TP63,Body,False,False
cgSYN000130,0.02399063966135981,TP63,TSS1500,True,False
cgSYN000131,0.02084554350093698,TFPI2,1stExon,True,False
cgSYN000132,0.034458756825779424,TFPI2,Body,False,False
cgSYN000133,0.058367192804874735,TFPI2,TSS1500,True,False
cgSYN000134,-0.04915004061378353,TFPI2,Body,False,False
cgSYN000135,-0.04806161641448059,TFPI2,Body,False,False
cgSYN000136,-0.08628930104042926,TFPI2,TSS200,True,False
cgSYN000137,-0.07001924621002803,TFPI2,Body,False,False
cgSYN000138,0.001392704450435378,TFPI2,1stExon,True,False
cgSYN000139,0.0004250697380951962,TFPI2,Body,False,False
cgSYN000140,-0.020262883200907633,TFPI2,1stExon,True,False
cgSYN000141,-0.035628581629076284,TFPI2,TSS1500,True,False
cgSYN000142,-0.017623798587726225,TFPI2,1stExon,True,False
cgSYN000143,-0.07830878715037354,SOX17,5'UTR,True,False
cgSYN000144,0.020644104382143147,SOX17,1stExon,True,False
cgSYN000145,-0.05974274752866571,SOX17,Body,False,False
cgSYN000146,-0.03326697493345321,SOX17,Body,False,False
cgSYN000147,0.016318585547214742,SOX17,Body,False,False
cgSYN000148,-0.014172809177487089,SOX17,5'UTR,True,False
cgSYN000149,0.003444594486611885,SOX17,1stExon,True,False
cgSYN000150,-0.0091704927081524,SOX17,Body,False,False
cgSYN000151,0.005049265792416602,SOX17,TSS200,True,False
cgSYN000152,-0.0491412032704282,SOX17,Body,False,False
cgSYN000153,-0.038328905102801625,SOX17,Body,False,False
cgSYN000154,0.015432836291964458,SOX17,Body,False,False
cgSYN000155,0.00156775461235803,GATA4,Body,False,False
cgSYN000156,-0.03298037660634412,GATA4,Body,False,False
cgSYN000157,0.0272698333899882,GATA4,TSS200,True,False
cgSYN000158,0.013554374484283649,GATA4,Body,False,False
cgSYN000159,0.005626799115056036,GATA4,5'UTR,True,False
cgSYN000160,0.0065601083047540365,GATA4,Body,False,False
cgSYN000161,-0.03283605992264249,GATA4,Body,False,False
cgSYN000162,-0.04515551554289199,GATA4,TSS1500,True,False
cgSYN000163,0.034464337293923286,GATA4,TSS1500,True,False
cgSYN000164,-0.05216585934328366,GATA4,TSS1500,True,False
cgSYN000165,-0.012654443435781815,GATA4,TSS200,True,False
cgSYN000166,0.00903713802847994,GATA4,5'UTR,True,False
cgSYN000167,0.005681753275080664,EGFR,TSS1500,True,False
cgSYN000168,0.009179449360796843,EGFR,Body,False,False
cgSYN000169,0.01672882030232614,EGFR,Body,False,False
cgSYN000170,0.01988257109813063,EGFR,Body,False,False
cgSYN000171,0.023813739198271316,EGFR,5'UTR,True,False
cgSYN000172,0.03156164209482765,EGFR,Body,False,False
cgSYN000173,0.0848049409349888,EGFR,TSS1500,True,False
cgSYN000174,-0.0150291698757552,EGFR,TSS200,True,False
cgSYN000175,-0.011111886148787331,EGFR,TSS1500,True,False
cgSYN000176,-0.019214491974209436,EGFR,TSS200,True,False
cgSYN000177,-0.05133920023275712,EGFR,TSS1500,True,False
cgSYN000178,-0.007650782982094095,EGFR,TSS200,True,False
cgSYN000179,0.034947043390667565,PTK6,TSS1500,True,False
cgSYN000180,0.04704012470978214,PTK6,TSS1500,True,False
cgSYN000181,0.0008007003710015226,PTK6,TSS1500,True,False
cgSYN000182,0.04709553561848878,PTK6,Body,False,False
cgSYN000183,-0.02769178434671901,PTK6,Body,False,False
cgSYN000184,0.014142284903402497,PTK6,Body,False,False
cgSYN000185,0.0644384733662775,PTK6,1stExon,True,False
cgSYN000186,0.020404511419739535,PTK6,Body,False,False
cgSYN000187,-0.03790796209234065,PTK6,TSS200,True,False
cgSYN000188,-0.02172101684120037,PTK6,TSS1500,True,False
cgSYN000189,-0.01444279103097279,PTK6,Body,False,False
cgSYN000190,0.04067601494747408,PTK6,TSS1500,True,False
cgSYN000191,-0.02208950900931994,AIM2,TSS200,True,False
cgSYN000192,-0.02043769743957763,AIM2,5'UTR,True,False
cgSYN000193,0.005205754547559227,AIM2,5'UTR,True,False
cgSYN000194,0.03818427879458597,AIM2,1stExon,True,False
cgSYN000195,0.0002157038516091836,AIM2,Body,False,False
cgSYN000196,0.03664132301830603,AIM2,TSS1500,True,False
cgSYN000197,-0.04360975787670418,AIM2,TSS200,True,False
cgSYN000198,0.06732492806596557,AIM2,Body,False,False
cgSYN000199,0.060437713239477,AIM2,Body,False,False
cgSYN000200,0.017800804359486888,AIM2,1stExon,True,False
cgSYN000201,-0.020189815591985294,AIM2,Body,False,False
cgSYN000202,0.09795553938691237,AIM2,TSS1500,True,False
cgSYN000203,0.029525964666821114,CCNA1,5'UTR,True,False
cgSYN000204,-0.038052190327840685,CCNA1,Body,False,False
cgSYN000205,0.06791769975356826,CCNA1,Body,False,False
cgSYN000206,-0.02160791471100862,CCNA1,Body,False,False
cgSYN000207,-0.042349047335074,CCNA1,Body,False,False
cgSYN000208,-0.031397621656869656,CCNA1,TSS1500,True,False
cgSYN000209,-0.014996006474995993,CCNA1,Body,False,False
cgSYN000210,0.005414514198879838,CCNA1,Body,False,False
cgSYN000211,0.04624489844300439,CCNA1,1stExon,True,False
cgSYN000212,0.07272174365322848,CCNA1,Body,False,False
cgSYN000213,0.03589752522592293,CCNA1,TSS1500,True,False
cgSYN000214,-0.008641217918260363,CCNA1,TSS1500,True,False
cgSYN000215,-0.02318457841810828,CCNA2,TSS200,True,False
cgSYN000216,0.027141485906211682,CCNA2,5'UTR,True,False
cgSYN000217,-0.012265595199610901,CCNA2,Body,False,False
cgSYN000218,0.01980922905600699,CCNA2,Body,False,False
cgSYN000219,-0.07173717453459016,CCNA2,Body,False,False
cgSYN000220,-0.029673686952192246,CCNA2,Body,False,False
cgSYN000221,-0.007854903497236942,CCNA2,Body,False,False
cgSYN000222,-0.007394320735043092,CCNA2,Body,False,False
cgSYN000223,0.011841929363835213,CCNA2,TSS200,True,False
cgSYN000224,-0.02271676376902526,CCNA2,TSS1500,True,False
cgSYN000225,0.017505096332953274,CCNA2,5'UTR,True,False
cgSYN000226,0.021175662256235905,CCNA2,TSS200,True,False
cgSYN000227,-0.03796599925998631,CCNB1,Body,False,False
cgSYN000228,0.043685332102819954,CCNB1,1stExon,True,False
cgSYN000229,-0.0511320859523427,CCNB1,TSS1500,True,False
cgSYN000230,0.057799810941883384,CCNB1,TSS1500,True,False
cgSYN000231,0.012357795077137967,CCNB1,TSS200,True,False
cgSYN000232,-0.05382216675608703,CCNB1,Body,False,False
cgSYN000233,0.022348514205666276,CCNB1,Body,False,False
cgSYN000234,-0.005122183146118786,CCNB1,Body,False,False
cgSYN000235,-0.008585698424742105,CCNB1,Body,False,False
cgSYN000236,0.07891553382864319,CCNB1,TSS1500,True,False
cgSYN000237,0.029762843532096128,CCNB1,TSS1500,True,False
cgSYN000238,-0.026071517609543293,CCNB1,Body,False,False
cgSYN000239,0.014636076592455027,CCNB2,Body,False,False
cgSYN000240,-0.0036637498787199796,CCNB2,1stExon,True,False
cgSYN000241,0.035140399153881396,CCNB2,TSS200,True,False
cgSYN000242,-0.03941436637158796,CCNB2,TSS200,True,False
cgSYN000243,0.03347679877633414,CCNB2,TSS200,True,False
cgSYN000244,-0.018660992543016786,CCNB2,TSS200,True,False
cgSYN000245,0.057535039010068845,CCNB2,TSS1500,True,False
cgSYN000246,0.03070091456094659,CCNB2,TSS200,True,False
cgSYN000247,-0.024265686108003615,CCNB2,TSS1500,True,False
cgSYN000248,-0.05330754318393277,CCNB2,Body,False,False
cgSYN000249,0.0002624863022085977,CCNB2,Body,False,False
cgSYN000250,0.006708199490651212,CCNB2,Body,False,False
cgSYN000251,0.03665576173207735,CXCL9,5'UTR,True,False
cgSYN000252,0.010835601372488318,CXCL9,TSS1500,True,False
cgSYN000253,0.022096961840712803,CXCL9,TSS1500,True,False
cgSYN000254,0.0032829676531824226,CXCL9,Body,False,False
cgSYN000255,-0.027632893354398225,CXCL9,TSS1500,True,False
cgSYN000256,-0.024475800249095236,CXCL9,1stExon,True,False
cgSYN000257,0.012081608043537029,CXCL9,5'UTR,True,False
cgSYN000258,-0.011205034944401726,CXCL9,TSS1500,True,False
cgSYN000259,-0.05848218294901886,CXCL10,TSS200,True,False
cgSYN000260,-0.09041357102586456,CXCL10,TSS200,True,False
cgSYN000261,-0.10710578039279153,CXCL10,TSS200,True,True
cgSYN000262,-0.07705679430542844,CXCL10,1stExon,True,False
cgSYN000263,-0.13923635166505482,CXCL10,5'UTR,True,True
cgSYN000264,-0.10099626192012034,CXCL10,Body,False,True
cgSYN000265,-0.021190007299362462,CXCL10,TSS200,True,False
cgSYN000266,-0.04540668694482347,CXCL10,Body,False,False
cgSYN000267,-0.04190468598701225,CXCL11,TSS1500,True,False
cgSYN000268,-0.00845173870336069,CXCL11,Body,False,False
cgSYN000269,-0.019987768623406205,CXCL11,TSS1500,True,False
cgSYN000270,0.015925479686406063,CXCL11,TSS1500,True,False
cgSYN000271,-0.07456271860392921,CXCL11,1stExon,True,False
cgSYN000272,-0.036800855438751556,CXCL11,TSS1500,True,False
cgSYN000273,-0.0468214471253372,CXCL11,TSS200,True,False
cgSYN000274,-0.06579804263449762,CXCL11,5'UTR,True,False
cgSYN000275,-0.09290670825165781,IFI6,Body,False,False
cgSYN000276,-0.06356363030355416,IFI6,5'UTR,True,False
cgSYN000277,-0.05114516675912434,IFI6,TSS200,True,False
cgSYN000278,-0.026555351202664446,IFI6,Body,False,False
cgSYN000279,-0.05613601090320819,IFI6,TSS200,True,False
cgSYN000280,-0.0357954995745442,IFI6,Body,False,False
cgSYN000281,-0.06319919030210686,IFI6,TSS1500,True,False
cgSYN000282,0.07761659430473947,IFI6,TSS1500,True,False
cgSYN000283,-0.043978759815616386,WARS1,5'UTR,True,False
cgSYN000284,-0.03899560295948512,WARS1,Body,False,False
cgSYN000285,0.06605267156526051,WARS1,TSS200,True,False
cgSYN000286,-0.036053888757915986,WARS1,TSS200,True,False
cgSYN000287,-0.013165968429133201,WARS1,Body,False,False
cgSYN000288,0.01980341352851711,WARS1,5'UTR,True,False
cgSYN000289,0.04146425578225449,WARS1,TSS200,True,False
cgSYN000290,-0.057521585219445726,WARS1,TSS1500,True,False
cgSYN000291,0.00021092068826975008,GBP5,5'UTR,True,False
cgSYN000292,0.0010125925571735639,GBP5,TSS200,True,False
cgSYN000293,0.020244081415220855,GBP5,TSS200,True,False
cgSYN000294,0.03139244465588675,GBP5,TSS1500,True,False
cgSYN000295,0.0019188990325584299,GBP5,Body,False,False
cgSYN000296,-0.04441408230355903,GBP5,1stExon,True,False
cgSYN000297,0.0430178766956254,GBP5,5'UTR,True,False
cgSYN000298,0.05727261822314278,GBP5,Body,False,False
cgSYN000299,0.01170493025458727,CD74,TSS1500,True,False
cgSYN000300,0.0057128620411898146,CD74,1stExon,True,False
cgSYN000301,-0.02961716660048641,CD74,TSS1500,True,False
cgSYN000302,0.04202840414008646,CD74,Body,False,False
cgSYN000303,0.007678817724789178,CD74,TSS1500,True,False
cgSYN000304,-0.05524192035289688,CD74,Body,False,False
cgSYN000305,-0.04939484312809239,CD74,1stExon,True,False
cgSYN000306,-0.016662963057332142,CD74,Body,False,False
cgSYN000307,0.04144170954906651,STAT1,5'UTR,True,False
cgSYN000308,-0.03240480561009962,STAT1,Body,False,False
cgSYN000309,-0.026706893836059287,STAT1,Body,False,False
cgSYN000310,-0.03319649751938203,STAT1,5'UTR,True,False
cgSYN000311,-0.0440770562621603,STAT1,TSS200,True,False
cgSYN000312,0.01720486742819166,STAT1,Body,False,False
cgSYN000313,-0.007048497327616254,STAT1,TSS1500,True,False
cgSYN000314,-0.015586798848999495,STAT1,TSS200,True,False
cgSYN000315,-0.024552528176738975,IFI44,Body,False,False
cgSYN000316,0.02208301437918314,IFI44,5'UTR,True,False
cgSYN000317,0.033749540384343524,IFI44,TSS1500,True,False
cgSYN000318,-0.00029811772408716575,IFI44,Body,False,False
cgSYN000319,0.017813981446795135,IFI44,Body,False,False
cgSYN000320,0.0021331494394872808,IFI44,5'UTR,True,False
cgSYN000321,-0.01507403243482719,IFI44,TSS1500,True,False
cgSYN000322,-0.009737562318298004,IFI44,Body,False,False
cgSYN000323,0.032051938234930355,UBE2L6,5'UTR,True,False
cgSYN000324,0.02271255013145651,UBE2L6,TSS200,True,False
cgSYN000325,-0.057628160288721086,UBE2L6,TSS1500,True,False
cgSYN000326,0.0030023681992470963,UBE2L6,5'UTR,True,False
cgSYN000327,-0.004740780117915955,UBE2L6,5'UTR,True,False
cgSYN000328,-0.003803486263862954,UBE2L6,Body,False,False
cgSYN000329,-0.003426558793268475,UBE2L6,Body,False,False
cgSYN000330,-0.0720857947418076,UBE2L6,Body,False,False
cgSYN000331,0.04907332221672389,RNF213,1stExon,True,False
cgSYN000332,-0.04174724260581114,RNF213,Body,False,False
cgSYN000333,0.03564847238540164,RNF213,Body,False,False
cgSYN000334,-0.03283869973092324,RNF213,Body,False,False
cgSYN000335,0.02377415892340007,RNF213,TSS200,True,False
cgSYN000336,-0.06294478052912877,RNF213,Body,False,False
cgSYN000337,-0.04265733758589174,RNF213,Body,False,False
cgSYN000338,-0.015561111383658788,RNF213,Body,False,False
cgSYN000339,-0.04497999148196061,OAS3,1stExon,True,False
cgSYN000340,-0.03111543722393656,OAS3,TSS200,True,False
cgSYN000341,-0.0020500541616617074,OAS3,Body,False,False
cgSYN000342,0.015160951317620852,OAS3,TSS200,True,False
cgSYN000343,-0.0064602701056351575,OAS3,5'UTR,True,False
cgSYN000344,-0.05613977804202808,OAS3,TSS1500,True,False
cgSYN000345,-0.04534393774897083,OAS3,Body,False,False
cgSYN000346,-0.025813238760756807,OAS3,TSS1500,True,False
cgSYN000347,0.02743880433911977,IFITM3,TSS1500,True,False
cgSYN000348,0.022651333718095967,IFITM3,Body,False,False
cgSYN000349,0.055287214029376974,IFITM3,Body,False,False
cgSYN000350,-0.06545661761094612,IFITM3,Body,False,False
cgSYN000351,0.04886806540815536,IFITM3,Body,False,False
cgSYN000352,0.05045096403648974,IFITM3,TSS1500,True,False
cgSYN000353,-0.0412958206281101,IFITM3,Body,False,False
cgSYN000354,-0.019764583768193567,IFITM3,TSS200,True,False
cgSYN000355,0.0021189369173162664,BST2,1stExon,True,False
cgSYN000356,-0.031655103537243656,BST2,Body,False,False
cgSYN000357,0.028116495264540242,BST2,1stExon,True,False
cgSYN000358,0.03253390994024813,BST2,Body,False,False
cgSYN000359,0.03065262860969742,BST2,Body,False,False
cgSYN000360,-0.02128649216384193,BST2,Body,False,False
cgSYN000361,0.007755758348968023,BST2,Body,False,False
cgSYN000362,0.0013750956258903324,BST2,Body,False,False
cgSYN000363,-0.02838341856551907,MX1,TSS200,True,False
cgSYN000364,0.017230661494017585,MX1,TSS200,True,False
cgSYN000365,0.02422278676725681,MX1,1stExon,True,False
cgSYN000366,0.012989446726017706,MX1,TSS200,True,False
cgSYN000367,-0.03646961281755445,MX1,Body,False,False
cgSYN000368,-0.013766531868067977,MX1,TSS200,True,False
cgSYN000369,0.04973947510962623,MX1,5'UTR,True,False
cgSYN000370,-0.021775316248515808,MX1,5'UTR,True,False
cgSYN000371,0.07475084105628826,PARP14,TSS200,True,False
cgSYN000372,0.0001327588178768324,PARP14,TSS1500,True,False
cgSYN000373,-0.08968942999918672,PARP14,TSS1500,True,False
cgSYN000374,-0.01591140219535722,PARP14,TSS1500,True,False
cgSYN000375,-0.024663361681901474,PARP14,Body,False,False
cgSYN000376,-0.04173336499200744,PARP14,1stExon,True,False
cgSYN000377,-0.020291757076127404,PARP14,TSS1500,True,False
cgSYN000378,0.06580983645817073,PARP14,5'UTR,True,False
cgSYN000379,0.042873135922928185,GBP1,Body,False,False
cgSYN000380,0.013413569125077796,GBP1,1stExon,True,False
cgSYN000381,-0.012339425176031482,GBP1,Body,False,False
cgSYN000382,-0.008874486987332064,GBP1,TSS1500,True,False
cgSYN000383,0.01865780457242333,GBP1,Body,False,False
cgSYN000384,-0.014406405998042354,GBP1,5'UTR,True,False
cgSYN000385,0.013740528440707278,GBP1,TSS1500,True,False
cgSYN000386,0.02531648688851229,GBP1,1stExon,True,False
cgSYN000387,0.05606103808134233,EPSTI1,1stExon,True,False
cgSYN000388,0.044277652552085156,EPSTI1,TSS1500,True,False
cgSYN000389,-0.029861233016098693,EPSTI1,TSS1500,True,False
cgSYN000390,0.05175256710875331,EPSTI1,TSS1500,True,False
cgSYN000391,0.04828083437389949,EPSTI1,TSS1500,True,False
cgSYN000392,-0.006590022073257373,EPSTI1,Body,False,False
cgSYN000393,0.0651899293351148,EPSTI1,Body,False,False
cgSYN000394,0.05060325725070558,EPSTI1,TSS200,True,False
cgSYN000395,-0.059977786344108885,LY6E,Body,False,False
cgSYN000396,-0.001172499030713814,LY6E,Body,False,False
cgSYN000397,-0.017821212599496483,LY6E,Body,False,False
cgSYN000398,0.014240357960566885,LY6E,TSS1500,True,False
cgSYN000399,0.036460376334611355,LY6E,Body,False,False
cgSYN000400,-0.07870378260639682,LY6E,TSS200,True,False
cgSYN000401,0.07335290767264258,LY6E,5'UTR,True,False
cgSYN000402,0.04154108919874874,LY6E,TSS200,True,False
cgSYN000403,0.00015897895893224323,LCP1,Body,False,False
cgSYN000404,0.028104046914882386,LCP1,TSS1500,True,False
cgSYN000405,0.013274782084000153,LCP1,TSS1500,True,False
cgSYN000406,-0.036633032396545584,LCP1,TSS1500,True,False
cgSYN000407,-0.01567201955979114,LCP1,TSS200,True,False
cgSYN000408,0.004951002765647083,LCP1,Body,False,False
cgSYN000409,-0.0080203528063032,LCP1,Body,False,False
cgSYN000410,0.07761704730084212,LCP1,Body,False,False
cgSYN000411,0.2508692717722024,UBD,Body,False,True
cgSYN000412,-0.0013628282341484055,UBD,TSS200,True,False
cgSYN000413,0.029342892910084406,UBD,Body,False,False
cgSYN000414,-0.001280493889112777,UBD,5'UTR,True,False
cgSYN000415,-0.01745876375586941,UBD,5'UTR,True,False
cgSYN000416,-0.015662606225161246,UBD,5'UTR,True,False
cgSYN000417,0.002731706964324121,UBD,1stExon,True,False
cgSYN000418,0.011243740831586302,UBD,5'UTR,True,False
cgSYN000419,-0.021550185631165064,UBD,TSS200,True,False
cgSYN000420,0.07092738882658933,UBD,Body,False,False
cgSYN000421,0.017165222436391958,UBD,Body,False,False
cgSYN000422,0.006656013685141127,UBD,TSS200,True,False
cgSYN000423,0.018579970561654696,UBD,Body,False,False
cgSYN000424,-0.040775070517974465,XAF1,5'UTR,True,False
cgSYN000425,0.028465389712535066,XAF1,TSS1500,True,False
cgSYN000426,-0.05022179456677239,XAF1,TSS200,True,False
cgSYN000427,0.04027046716683236,XAF1,Body,False,False
cgSYN000428,-0.023792276779465604,XAF1,TSS1500,True,False
cgSYN000429,0.034937624720347005,XAF1,TSS200,True,False
cgSYN000430,-0.06744169300449443,XAF1,5'UTR,True,False
cgSYN000431,0.03619315680805757,XAF1,1stExon,True,False
cgSYN000432,-0.008784869787255178,C1QC,Body,False,False
cgSYN000433,0.053326913015399074,C1QC,Body,False,False
cgSYN000434,-0.005346950776879633,C1QC,TSS1500,True,False
cgSYN000435,0.014062934184283393,C1QC,Body,False,False
cgSYN000436,0.00666653771669623,C1QC,TSS1500,True,False
cgSYN000437,-0.031187693168022834,C1QC,TSS1500,True,False
cgSYN000438,0.057111370569127407,C1QC,TSS1500,True,False
cgSYN000439,-0.019540199610710712,C1QC,5'UTR,True,False
cgSYN000440,-0.059141323751716435,TAP1,Body,False,False
cgSYN000441,-0.0535162720552651,TAP1,1stExon,True,False
